#,Description,License,Licence URL,Image
60,丸に鬼梶の葉,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Maru_ni_oni_Kajinoha(White_background).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Japanese_crest_Maru_ni_oni_Kajinoha%28White_background%29.svg/600px-Japanese_crest_Maru_ni_oni_Kajinoha%28White_background%29.svg.png
61,松かさ菱,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Matu_Kasa_Hishi.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Japanese_crest_Matu_Kasa_Hishi.svg/600px-Japanese_crest_Matu_Kasa_Hishi.svg.png
62,右三階松,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Migi_Sangai_Matu.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Japanese_crest_Migi_Sangai_Matu.svg/600px-Japanese_crest_Migi_Sangai_Matu.svg.png
63,中川柏,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Nakagawa_Kasiwa.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Japanese_crest_Nakagawa_Kasiwa.svg/600px-Japanese_crest_Nakagawa_Kasiwa.svg.png
64,尾張葵,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Owari_mitu_Aoi.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Japanese_crest_Owari_mitu_Aoi.svg/600px-Japanese_crest_Owari_mitu_Aoi.svg.png
65,相良梅鉢,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Sagara_Umebachi.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Japanese_crest_Sagara_Umebachi.svg/600px-Japanese_crest_Sagara_Umebachi.svg.png
66,下り藤,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Sagari_Fuji_of_Katou_Yosiaki.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Japanese_crest_Sagari_Fuji_of_Katou_Yosiaki.svg/600px-Japanese_crest_Sagari_Fuji_of_Katou_Yosiaki.svg.png
67,篠笹,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Sinosasa.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Japanese_crest_Sinosasa.svg/600px-Japanese_crest_Sinosasa.svg.png
68,石持に陰違い鷹の羽,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Sirakawa_Takanoha.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Japanese_crest_Sirakawa_Takanoha.svg/600px-Japanese_crest_Sirakawa_Takanoha.svg.png
69,図は、徳川家康から後3代家光までが使用した徳川葵の図案例である。葉軸が細長く巴状に湾曲し、また葉脈も多い。,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Tokugawa_Aoi_(old_design).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Japanese_crest_Tokugawa_Aoi_%28old_design%29.svg/600px-Japanese_crest_Tokugawa_Aoi_%28old_design%29.svg.png
70,鶴の丸、鶴紋の一種。,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Tsuru_no_Maru.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Japanese_crest_Tsuru_no_Maru.svg/600px-Japanese_crest_Tsuru_no_Maru.svg.png
71,鶴の丸,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Turu_no_maru(White_background).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Japanese_crest_Turu_no_maru%28White_background%29.svg/600px-Japanese_crest_Turu_no_maru%28White_background%29.svg.png
72,地楡に雀,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Waremokou_ni_Suzume.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Japanese_crest_Waremokou_ni_Suzume.svg/600px-Japanese_crest_Waremokou_ni_Suzume.svg.png
73,米沢笹,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_Yonezawa_Sasa.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Japanese_crest_Yonezawa_Sasa.svg/600px-Japanese_crest_Yonezawa_Sasa.svg.png
74,違い鷹の羽,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_chigai_Takanoha.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Japanese_crest_chigai_Takanoha.svg/600px-Japanese_crest_chigai_Takanoha.svg.png
75,左三階松,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_hidari_sangai_Matu.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Japanese_crest_hidari_sangai_Matu.svg/600px-Japanese_crest_hidari_sangai_Matu.svg.png
76,一つ松,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_hitotu_Matu.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Japanese_crest_hitotu_Matu.svg/600px-Japanese_crest_hitotu_Matu.svg.png
77,五つ並び鷹の羽,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_itutu_narabi_Takanoha.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Japanese_crest_itutu_narabi_Takanoha.svg/600px-Japanese_crest_itutu_narabi_Takanoha.svg.png
78,三つ並び鷹の羽,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_mitu_narabi_Takanoha.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Japanese_crest_mitu_narabi_Takanoha.svg/600px-Japanese_crest_mitu_narabi_Takanoha.svg.png
79,対い蝶,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_mukai_Chou.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Japanese_crest_mukai_Chou.svg/600px-Japanese_crest_mukai_Chou.svg.png
80,三枚熊笹,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Japanese_crest_sanmai_Kumazasa.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Japanese_crest_sanmai_Kumazasa.svg/600px-Japanese_crest_sanmai_Kumazasa.svg.png
81,丸に桔梗,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Kamon_Maru_ni_Kikyo.png,https://upload.wikimedia.org/wikipedia/commons/e/e6/Kamon_Maru_ni_Kikyo.png
82,折敷に十文字,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Kamon_kayanouchi_jumonji.png,https://upload.wikimedia.org/wikipedia/commons/4/4b/Kamon_kayanouchi_jumonji.png
83,丸に九枚笹,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Maru_ni_Kumai_Sasa_(No_background_and_Black_color_drawing).svg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Maru_ni_Kumai_Sasa_%28No_background_and_Black_color_drawing%29.svg/600px-Maru_ni_Kumai_Sasa_%28No_background_and_Black_color_drawing%29.svg.png
84,鬼蔦,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Mikawa-Tsuta.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fd/Mikawa-Tsuta.jpg
85,裏銭,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Mujisen.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Mujisen.svg/126px-Mujisen.svg.png
86,丸に上文字,Creative Commons Attribution-Share Alike 3.0,https://commons.wikimedia.org/wiki/File:Murakami_crest.jpg,https://upload.wikimedia.org/wikipedia/commons/4/48/Murakami_crest.jpg
